법정동,지번,아파트이름,전용면적,계약년도,계약월,계약일,거래금액(만원),건축년도
능동,1109,능동마을이지더원,83.5573,2020,1,17,"31,500",2008
반월동,883,반달마을두산위브2단지,84.927,2020,1,13,"30,500",2007
기산동,466,신동탄푸르지오,101.8619,2020,1,23,"22,000",2005
남양읍 남양리,2001,대광파인밸리,59.65,2020,1,18,"14,000",2003
병점동,282,남수원두산,84.9,2020,1,17,"20,700",2000
진안동,908,진안골마을주공10단지,59.56,2020,1,31,"16,500",2004
반월동,865-1,신영통현대1차,84.99,2020,1,18,"26,900",2001
매송면 천천리,92,삼미A단지,42.145,2020,1,16,"6,650",1986
능동,1134,포스코더샵2차,84.3079,2020,1,22,"34,800",2008
능동,1134,포스코더샵2차,76.5336,2020,1,20,"34,000",2008
능동,1134,포스코더샵2차,117.5061,2020,1,17,"47,000",2008
능동,1150,동탄푸른마을신일해피트리,83.21,2020,1,18,"29,000",2008
병점동,858,정든마을신창2차,122.709,2020,1,16,"30,300",2004
능동,1150,동탄푸른마을신일해피트리,84.88,2020,1,21,"31,500",2008
반월동,868,신영통현대2차,119.79,2020,1,30,"28,500",2002
능동,1150,동탄푸른마을신일해피트리,59.05,2020,1,20,"25,000",2008
병점동,858,정든마을신창2차,101.983,2020,1,22,"29,700",2004
병점동,820,안화동마을주공5단지,75.79,2020,1,23,"22,500",2004
목동,479,동탄금강펜테리움센트럴파크Ⅳ,74.8709,2020,1,17,"42,000",2018
능동,1126,동탄숲속마을 능동역 리체 더 포레스트,87.9844,2020,1,8,"28,800",2008
향남읍 행정리,443,화성향남시범넓은들마을신명스카이뷰,84.995,2020,1,18,"25,700",2008
병점동,871,병점역효성해링턴플레이스,84.9684,2020,1,7,"29,900",2013
반월동,883,반달마을두산위브2단지,102.817,2020,1,9,"31,500",2007
봉담읍 수영리,647-5,수정마을동남메리트,84.8906,2020,1,20,"20,000",2002
병점동,849,안화동마을주공7단지,51.72,2020,1,22,"17,000",2004
반월동,960,e편한세상반월나노시티역,58.23,2020,1,8,"39,800",2017
능동,1126,동탄숲속마을 능동역 리체 더 포레스트,90.0519,2020,1,6,"27,400",2008
능동,1150,동탄푸른마을신일해피트리,59.87,2020,1,21,"26,000",2008
반월동,868,신영통현대2차,119.79,2020,1,21,"28,000",2002
병점동,872,병점역양우내안애,58.69,2020,1,9,"23,000",2016
안녕동,210,남산마을청광플러스원,84.9062,2020,1,31,"14,250",2004
청계동,519,더샵센트럴시티,97.046,2020,1,20,"110,000",2015
반송동,212,나루마을월드메르디앙반도유보라,101.9599,2020,1,22,"49,000",2007
병점동,872,병점역양우내안애,58.33,2020,1,14,"22,700",2016
병점동,820,안화동마을주공5단지,84.87,2020,1,29,"23,000",2004
반월동,880,반달마을두산위브1단지,103.472,2020,1,9,"32,300",2007
능동,1039,서동탄역우남퍼스트빌아파트,84.2119,2020,1,18,"23,500",2002
반송동,106-7,서해더블루(106-7),108.1715,2020,1,17,"38,500",2010
오산동,964,동탄역 신미주,84.896,2020,1,31,"37,800",2005
능동,1039,서동탄역우남퍼스트빌아파트,84.2119,2020,1,14,"25,000",2002
병점동,819,안화동마을주공9단지,84.87,2020,1,31,"26,500",2005
반월동,960,e편한세상반월나노시티역,84.97,2020,1,11,"48,000",2017
능동,1132,동탄숲속마을 모아미래도1단지,59.37,2020,1,23,"29,000",2008
석우동,49,푸르지오,57.8,2020,1,18,"34,000",2008
봉담읍 와우리,602,봉담한신더휴에듀파크,84.7502,2020,1,28,"33,000",2019
반송동,141,동탄센트럴포레스트,74.66,2020,1,8,"30,000",2009
능동,1132,동탄숲속마을 모아미래도1단지,59.37,2020,1,18,"32,500",2008
능동,1126,동탄숲속마을 능동역 리체 더 포레스트,110.1671,2020,1,22,"38,800",2008
청계동,519,더샵센트럴시티,84.392,2020,1,16,"99,000",2015
병점동,872,병점역양우내안애,58.33,2020,1,17,"24,000",2016
남양읍 남양리,2300,양우내안애2차에듀타운아파트,84.655,2020,1,4,"32,000",2017
기산동,476,에스케이뷰파크2차,84.992,2020,1,9,"44,000",2017
영천동,720,동탄역포레너스,60.3768,2020,1,11,"34,000",2017
반송동,135,솔빛마을쌍용예가,84.9794,2020,1,4,"45,000",2007
반월동,868,신영통현대2차,119.79,2020,1,10,"26,600",2002
병점동,821,느치미마을주공뜨란채3단지,75.63,2020,1,20,"22,300",2004
반송동,135,솔빛마을쌍용예가,78.7193,2020,1,31,"39,900",2007
반송동,135,솔빛마을쌍용예가,84.991,2020,1,18,"46,000",2007
능동,1151,푸른마을모아미래도,59.192,2020,1,6,"23,000",2008
반월동,944,에스케이뷰파크,84.981,2020,1,9,"38,000",2015
진안동,911,진안골마을주공11단지,75.99,2020,1,31,"23,300",2004
능동,1134,포스코더샵2차,84.6199,2020,1,30,"33,000",2008
향남읍 행정리,494,한일베라체,104.0872,2020,1,20,"34,000",2008
병점동,872,병점역양우내안애,58.69,2020,1,22,"24,000",2016
능동,1151,푸른마을모아미래도,59.039,2020,1,20,"25,500",2008
능동,1151,푸른마을모아미래도,59.192,2020,1,23,"26,450",2008
능동,1151,푸른마을모아미래도,83.737,2020,1,18,"31,000",2008
능동,1151,푸른마을모아미래도,83.737,2020,1,21,"34,200",2008
능동,1151,푸른마을모아미래도,59.039,2020,1,22,"23,000",2008
반월동,944,에스케이뷰파크,84.9625,2020,1,7,"38,000",2015
석우동,53,우미린제일풍경채,74.092,2020,1,29,"43,000",2008
영천동,672,동탄역이지더원,59.9804,2020,1,20,"39,200",2015
능동,1131,자연앤데시앙,84.84,2020,1,31,"35,500",2008
청계동,550,KCC스위첸아파트,84.01,2020,1,13,"51,700",2015
능동,1039,서동탄역우남퍼스트빌아파트,84.2119,2020,1,10,"23,700",2002
기산동,467,행복마을 참누리 에듀파크(101동-113동),84.914,2020,1,15,"21,850",2006
능동,1129,동탄숲속마을모아미래도2단지,100.92,2020,1,16,"34,500",2008
능동,1137,푸른마을두산위브,81.49,2020,1,30,"34,000",2007
봉담읍 와우리,591,봉담휴먼빌,84.9438,2020,1,31,"24,500",2012
기산동,467,행복마을 참누리 에듀파크(101동-113동),84.914,2020,1,31,"21,000",2006
능동,1129,동탄숲속마을모아미래도2단지,101.23,2020,1,20,"33,000",2008
병점동,817,병점역센트럴허브시티,84.925,2020,1,31,"27,000",2004
영천동,672,동탄역이지더원,59.9792,2020,1,20,"37,900",2015
장지동,1009,레이크반도유보라아이비파크9.0,101.998,2020,1,16,"41,500",2017
병점동,817,병점역센트럴허브시티,84.925,2020,1,30,"25,800",2004
기산동,476,에스케이뷰파크2차,59.9889,2020,1,13,"35,000",2017
능동,1126,동탄숲속마을 능동역 리체 더 포레스트,90.0519,2020,1,21,"29,500",2008
남양읍 남양리,2048,남양아이파크,84.9037,2020,1,31,"26,500",2009
봉담읍 와우리,597,봉담센트럴푸르지오,59.8334,2020,1,29,"24,800",2017
병점동,817,병점역센트럴허브시티,111.195,2020,1,30,"28,000",2004
청계동,525,동탄역시범호반써밋,84.9698,2020,1,7,"67,000",2015
반송동,134,솔빛마을신도브래뉴,84.753,2020,1,13,"44,000",2007
능동,1131,자연앤데시앙,59.52,2020,1,22,"25,000",2008
영천동,720,동탄역포레너스,84.5202,2020,1,30,"48,800",2017
반송동,140,솔빛마을서해그랑블,124.332,2020,1,20,"64,300",2007
능동,1039,서동탄역우남퍼스트빌아파트,84.2119,2020,1,8,"22,600",2002
병점동,867,다정마을신한에스빌2차,84.8819,2020,1,28,"22,000",2005
청계동,558,동탄역대원칸타빌포레지움,84.786,2020,1,17,"50,000",2015
반월동,870,신영통현대4차,67.5327,2020,1,10,"21,500",2002
병점동,817,병점역센트럴허브시티,84.925,2020,1,23,"26,800",2004
봉담읍 동화리,580,휴먼시아동화마을(6단지),84.91,2020,1,31,"22,500",2007
병점동,821,느치미마을주공뜨란채3단지,84.91,2020,1,18,"22,700",2004
반월동,860,신영통현대3차,59.76,2020,1,16,"20,000",2001
병점동,819,안화동마을주공9단지,84.88,2020,1,14,"24,500",2005
병점동,809,주공1단지,39.99,2020,1,31,"13,500",1997
영천동,716,동탄역반도유보라아이비파크2.0,84.96,2020,1,29,"47,700",2016
병점동,867,다정마을신한에스빌2차,67.2567,2020,1,16,"18,500",2005
병점동,819,안화동마을주공9단지,75.79,2020,1,31,"22,700",2005
병점동,860,구봉마을우남퍼스트빌,97.1055,2020,1,16,"26,800",2004
병점동,817,병점역센트럴허브시티,84.925,2020,1,31,"26,000",2004
반송동,82,시범한빛마을금호어울림,84.613,2020,1,9,"51,750",2007
병점동,858,정든마을신창2차,122.709,2020,1,16,"30,800",2004
병점동,868,병점임광그대가,59.76,2020,1,18,"18,500",2007
송산동,222,솔뫼마을한승미메이드,83.8704,2020,1,31,"19,500",2005
병점동,872,병점역양우내안애,58.69,2020,1,6,"24,000",2016
능동,1137,푸른마을두산위브,73.33,2020,1,8,"29,400",2007
병점동,870,병점역SK뷰아파트,100.28,2020,1,21,"30,200",2008
