법정동,지번,아파트이름,전용면적,계약년도,계약월,계약일,거래금액(만원),건축년도
반월동,880,반달마을두산위브1단지,84.927,2021,1,16,"48,300",2007
석우동,53,우미린제일풍경채,80.3931,2021,1,16,"56,800",2008
반송동,96,METAPOLIS,187.117,2021,1,8,"149,000",2010
반송동,212,나루마을월드메르디앙반도유보라,110.7323,2021,1,21,"71,500",2007
병점동,872,병점역양우내안애,74.27,2021,1,4,"32,500",2016
기안동,290,광도와이드빌,84.8415,2021,1,8,"20,700",2002
봉담읍 와우리,602,봉담한신더휴에듀파크,59.9708,2021,1,23,"36,000",2019
병점동,506,병점역우남퍼스트빌3차,83.7357,2021,1,12,"24,500",2001
우정읍 조암리,791,화성조암한라비발디,84.9078,2021,1,23,"23,600",2012
병점동,868,병점임광그대가,84.95,2021,1,14,"28,900",2007
향남읍 발안리,295,발안마을주공,51.74,2021,1,9,"14,700",2003
기산동,466,신동탄푸르지오,84.9259,2021,1,22,"30,000",2005
우정읍 조암리,791,화성조암한라비발디,84.9078,2021,1,20,"23,000",2012
병점동,817,병점역센트럴허브시티,84.925,2021,1,10,"36,000",2004
안녕동,49-6,남수원현대,59.98,2021,1,25,"15,300",1997
남양읍 남양리,2048,남양아이파크,151.1521,2021,1,6,"48,000",2009
병점동,859,병점역에듀포레,75.99,2021,1,11,"32,500",2004
진안동,908,진안골마을주공10단지,59.56,2021,1,24,"25,800",2004
봉담읍 상리,614,청운마을신안인스빌,84.91,2021,1,11,"25,500",2004
남양읍 남양리,2047,남양우림필유아파트,101.209,2021,1,9,"30,000",2009
능동,1132,동탄숲속마을 모아미래도1단지,84.96,2021,1,9,"55,500",2008
봉담읍 와우리,210-26,수성효성,59.73,2021,1,21,"13,800",1996
영천동,720,동탄역포레너스,84.5202,2021,1,18,"60,000",2017
병점동,500-1,병점성호,59.635,2021,1,2,"20,000",2001
반월동,868,신영통현대2차,119.79,2021,1,7,"44,800",2002
남양읍 남양리,2312,시티프라디움1차아파트,84.9938,2021,1,22,"42,500",2018
향남읍 발안리,295,발안마을주공,51.74,2021,1,18,"15,900",2003
산척동,730,더레이크시티부영5단지,84.52,2021,1,9,"83,000",2018
새솔동,22,송산그린시티반도유보라아이비파크,74.4096,2021,1,9,"47,000",2018
새솔동,22,송산그린시티반도유보라아이비파크,84.9585,2021,1,13,"49,700",2018
봉담읍 와우리,238,다온마을쌍용스윗닷홈,84.5862,2021,1,21,"24,800",2006
봉담읍 와우리,597,봉담센트럴푸르지오,59.8334,2021,1,2,"35,000",2017
목동,491,힐스테이트동탄,84.8479,2021,1,16,"80,400",2019
목동,491,힐스테이트동탄,84.8479,2021,1,21,"85,000",2019
목동,491,힐스테이트동탄,84.8479,2021,1,24,"83,000",2019
봉담읍 와우리,238,다온마을쌍용스윗닷홈,84.5862,2021,1,19,"24,900",2006
향남읍 행정리,480,향남시범살구꽃마을풍림아이원,84.9524,2021,1,14,"34,000",2008
산척동,745,레이크힐 반도유보라 아이비파크 10.2,84.9991,2021,1,16,"60,500",2018
영천동,672,동탄역이지더원,84.9731,2021,1,9,"64,000",2015
남양읍 신남리,1563,대광파인밸리골드,84.305,2021,1,16,"24,500",2004
송산동,97-129,신현대1차,51.12,2021,1,22,"9,300",1991
송산면 사강리,693-1,화성사강영도엘리시아,57.5,2021,1,2,"19,600",2019
오산동,1001,동탄역더샵센트럴시티2차,74.9,2021,1,9,"71,000",2018
새솔동,18,송산그린시티이지더원레이크뷰아파트,77.6278,2021,1,16,"54,000",2018
정남면 발산리,490-12,동남훼미리,49.92,2021,1,25,"9,500",2000
능동,1132,동탄숲속마을 모아미래도1단지,84.13,2021,1,6,"59,000",2008
기안동,349,우림그린빌리지,83.39,2021,1,7,"20,700",2001
봉담읍 수영리,671,양지마을쌍용예가,114.4442,2021,1,9,"35,000",2007
목동,486,동탄2신도시호반베르디움22단지,53.4754,2021,1,13,"50,000",2017
봉담읍 와우리,590,봉담아이파크,84.6147,2021,1,10,"34,800",2009
향남읍 행정리,494,한일베라체,147.1554,2021,1,4,"40,500",2008
장지동,963,동탄호수자이파밀리에,59.64,2021,1,16,"59,800",2018
능동,1116,동탄숲속마을 광명메이루즈,84.23,2021,1,23,"60,000",2008
목동,491,힐스테이트동탄,84.8835,2021,1,23,"81,900",2019
남양읍 남양리,2047,남양우림필유아파트,84.861,2021,1,20,"29,800",2009
능동,1151,푸른마을모아미래도,59.039,2021,1,16,"38,000",2008
오산동,1044,반도유보라아이비파크3,74.9535,2021,1,16,"65,500",2016
석우동,49,푸르지오,59.556,2021,1,8,"51,000",2008
봉담읍 와우리,238,다온마을쌍용스윗닷홈,84.5862,2021,1,19,"23,000",2006
목동,478,이편한세상동탄,84.2,2021,1,16,"65,800",2018
영천동,720,동탄역포레너스,84.5202,2021,1,5,"61,000",2017
새솔동,23,더펠리체휴먼빌,84.9699,2021,1,8,"54,500",2018
봉담읍 와우리,238,다온마을쌍용스윗닷홈,59.8333,2021,1,18,"19,500",2006
능동,1137,푸른마을두산위브,72.68,2021,1,23,"55,000",2007
봉담읍 와우리,10,동보와우리아파트,24.3616,2021,1,23,"5,500",1999
봉담읍 와우리,602,봉담한신더휴에듀파크,59.9708,2021,1,10,"34,800",2019
청계동,545,동탄역신안인스빌리베라1차,84.9814,2021,1,12,"64,500",2015
봉담읍 와우리,597,봉담센트럴푸르지오,84.6797,2021,1,16,"45,000",2017
봉담읍 수영리,674,우방아이유쉘1단지,84.9727,2021,1,13,"38,500",2016
송동,693,동탄2하우스디더레이크,84.93,2021,1,3,"86,500",2016
병점동,500-1,병점성호,84.965,2021,1,1,"22,000",2001
병점동,485,한신,59.808,2021,1,6,"21,000",1999
산척동,744,그린힐 반도유보라 아이비파크 10(1단지),59.7731,2021,1,16,"45,600",2018
영천동,788,동탄역푸르지오,74.8664,2021,1,9,"84,000",2017
목동,477,동탄2신도시 베라체,59.99,2021,1,15,"49,900",2018
새솔동,22,송산그린시티반도유보라아이비파크,84.9585,2021,2,4,"54,300",2018
남양읍 남양리,2047,남양우림필유아파트,101.209,2021,2,20,"30,800",2009
산척동,733,더레이크시티부영6단지,59.9912,2021,2,27,"53,000",2018
영천동,879,동탄역동원로얄듀크1차,84.9889,2021,2,27,"87,900",2018
새솔동,13,송산신도시대방노블랜드더센트럴3차,84.9644,2021,2,6,"59,900",2019
송산동,97-129,신현대1차,39.15,2021,2,23,"9,300",1991
기안동,895,기안마을풍성신미주,84.8008,2021,2,4,"23,500",2004
송산동,97-2,신현대2차,58.14,2021,2,22,"11,000",1992
반송동,200,나루마을한화꿈에그린,113.18,2021,2,6,"73,600",2007
송산면 사강리,636-3,송산렉스타운,84.8341,2021,2,24,"21,000",2014
봉담읍 수영리,671,양지마을쌍용예가,114.4442,2021,2,28,"34,000",2007
송산면 사강리,693-1,화성사강영도엘리시아,55.45,2021,2,28,"20,200",2019
목동,491,힐스테이트동탄,61.9248,2021,2,16,"63,000",2019
목동,491,힐스테이트동탄,61.9248,2021,2,16,"63,000",2019
청계동,525,동탄역시범호반써밋,84.9537,2021,2,27,"99,500",2015
목동,486,동탄2신도시호반베르디움22단지,53.4754,2021,2,1,"47,000",2017
영천동,716,동탄역반도유보라아이비파크2.0,84.9921,2021,2,26,"65,500",2016
안녕동,2,병점역성호플레르빌,84.9884,2021,2,27,"30,000",2002
송산면 사강리,693-1,화성사강영도엘리시아,55.16,2021,2,28,"20,000",2019
청계동,547,동탄역신안인스빌리베라2차,84.9896,2021,2,27,"83,000",2016
청계동,520,동탄역 시범한화 꿈에그린 프레스티지,84.51,2021,2,27,"125,000",2015
병점동,820,안화동마을주공5단지,84.87,2021,2,25,"35,500",2004
능동,1151,푸른마을모아미래도,59.192,2021,2,28,"37,700",2008
정남면 발산리,490-12,동남훼미리,49.92,2021,2,25,"9,900",2000
봉담읍 상리,668,이편한세상신봉담,59.96,2021,2,25,"43,000",2019
청계동,525,동탄역시범호반써밋,84.9698,2021,2,27,"89,800",2015
반송동,98,METAPOLIS,128.44,2021,2,27,"105,000",2010
진안동,496,화남,59.99,2021,2,28,"17,400",1995
기산동,466,신동탄푸르지오,84.9259,2021,2,24,"32,800",2005
정남면 발산리,490-12,동남훼미리,39.95,2021,2,23,"7,500",2000
봉담읍 와우리,591,봉담휴먼빌,84.9438,2021,2,26,"34,000",2012
영천동,720,동탄역포레너스,84.5413,2021,2,26,"60,000",2017
송산동,97-129,신현대1차,39.15,2021,2,23,"9,300",1991
산척동,730,더레이크시티부영5단지,84.52,2021,2,24,"77,000",2018
병점동,847,안화동마을우남퍼스트빌,101.755,2021,2,27,"42,000",2004
반송동,85,시범한빛마을동탄아이파크,61.658,2021,2,27,"67,000",2007
병점동,849,안화동마을주공7단지,59.92,2021,2,25,"29,500",2004
오산동,972,동탄역 반도유보라 아이비파크6.0,59.9206,2021,2,25,"95,900",2017
병점동,849,안화동마을주공7단지,59.92,2021,2,25,"29,700",2004
향남읍 발안리,305,우림필유,84.494,2021,2,27,"28,300",2006
영천동,720,동탄역포레너스,84.5413,2021,2,27,"61,500",2017
향남읍 발안리,305,우림필유,73.611,2021,2,26,"26,500",2006
산척동,733,더레이크시티부영6단지,59.9912,2021,2,20,"53,000",2018
송산면 육일리,726,포도마을코스코밸리,59.9176,2021,2,21,"15,300",2009
오산동,998,동탄역에일린의뜰,84.9941,2021,2,26,"71,700",2016
청계동,536,시범반도유보라아이비파크4.0,96.7283,2021,2,18,"131,000",2018
영천동,833,힐스테이트동탄역,54.4202,2021,2,21,"53,978",2020
병점동,359,대창,84.97,2021,2,17,"28,500",1997
능동,1150,동탄푸른마을신일해피트리,84.88,2021,2,24,"49,500",2008
능동,1151,푸른마을모아미래도,59.039,2021,2,20,"45,000",2008
능동,1150,동탄푸른마을신일해피트리,59.05,2021,2,27,"39,000",2008
봉담읍 와우리,238,다온마을쌍용스윗닷홈,84.5862,2021,2,26,"21,350",2006
오산동,1001,동탄역더샵센트럴시티2차,84.98,2021,2,22,"82,900",2018
병점동,359,대창,84.97,2021,2,17,"28,500",1997
송산면 육일리,726,포도마을코스코밸리,84.9468,2021,2,26,"19,000",2009
병점동,859,병점역에듀포레,84.99,2021,2,26,"32,700",2004
기산동,467,행복마을 참누리 에듀파크(101동-113동),84.914,2021,2,20,"34,800",2006
장지동,976,제일풍경채에듀앤파크,59.5765,2021,2,28,"48,200",2018
능동,1126,동탄숲속마을 능동역 리체 더 포레스트,110.1671,2021,2,25,"63,000",2008
새솔동,26,세영리첼에듀파크,113.6153,2021,2,22,"69,400",2019
오산동,1001,동탄역더샵센트럴시티2차,74.9,2021,2,20,"76,800",2018
봉담읍 동화리,647,봉담신동아파밀리에,101.4047,2021,2,26,"42,800",2015
송동,693,동탄2하우스디더레이크,59.99,2021,2,19,"62,700",2016
병점동,359,대창,84.97,2021,2,20,"29,500",1997
우정읍 조암리,365-1,문영,71.34,2021,2,22,"8,700",1990
병점동,822,느치미마을2단지,59.56,2021,2,25,"24,500",2004
병점동,485,한신,84.948,2021,2,23,"32,500",1999
남양읍 남양리,415,남양우림,84.327,2021,2,26,"18,000",2001
반월동,868,신영통현대2차,84.99,2021,2,20,"34,500",2002
봉담읍 상리,668,이편한세상신봉담,51.98,2021,2,25,"34,800",2019
병점동,809,주공1단지,59.8,2021,2,22,"22,000",1997
병점동,849,안화동마을주공7단지,59.92,2021,2,20,"29,500",2004
새솔동,14,송산신도시대방노블랜드더퍼스티지1차,84.9914,2021,2,16,"57,000",2018
병점동,859,병점역에듀포레,84.99,2021,2,26,"35,000",2004
남양읍 무송리,642,금광포란재,81.1484,2021,2,27,"14,500",2005
향남읍 행정리,491,살구꽃마을제일오투그란데,118.0155,2021,2,21,"51,800",2008
청계동,547,동탄역신안인스빌리베라2차,59.968,2021,2,24,"62,700",2016
새솔동,23,더펠리체휴먼빌,70.593,2021,2,28,"55,900",2018
반송동,141,동탄센트럴포레스트,74.66,2021,2,28,"45,500",2009
기산동,466,신동탄푸르지오,84.9259,2021,2,22,"32,200",2005
병점동,860,구봉마을우남퍼스트빌,97.1055,2021,2,26,"43,000",2004
산척동,744,그린힐 반도유보라 아이비파크 10(1단지),59.7731,2021,2,27,"46,000",2018
진안동,908,진안골마을주공10단지,59.56,2021,2,17,"29,300",2004
송동,693,동탄2하우스디더레이크,84.96,2021,2,19,"85,000",2016
남양읍 남양리,2299,남양뉴타운양우내안애1차,69.8681,2021,2,20,"35,900",2016
병점동,485,한신,59.808,2021,2,24,"22,600",1999
영천동,879,동탄역동원로얄듀크1차,84.9889,2021,2,27,"87,900",2018
진안동,908,진안골마을주공10단지,59.56,2021,2,19,"29,200",2004
산척동,744,그린힐 반도유보라 아이비파크 10(1단지),59.7731,2021,2,22,"47,000",2018
병점동,485,한신,59.808,2021,2,20,"24,000",1999
기안동,358,평생플러스빌,83.9252,2021,2,27,"20,000",2001
능동,1150,동탄푸른마을신일해피트리,59.96,2021,2,19,"45,000",2008
새솔동,18,송산그린시티이지더원레이크뷰아파트,84.9256,2021,2,27,"65,000",2018
봉담읍 와우리,590,봉담아이파크,120.1871,2021,2,23,"47,000",2009
목동,491,힐스테이트동탄,61.9248,2021,2,27,"67,000",2019
봉담읍 상리,668,이편한세상신봉담,51.98,2021,2,26,"30,000",2019
새솔동,16,송산그린시티요진와이시티,70.99,2021,2,27,"53,000",2018
목동,479,동탄금강펜테리움센트럴파크Ⅳ,74.8709,2021,2,20,"59,800",2018
정남면 발산리,490-12,동남훼미리,39.808,2021,2,27,"7,600",2000
병점동,860,구봉마을우남퍼스트빌,101.755,2021,2,27,"42,200",2004
정남면 발산리,490-12,동남훼미리,49.92,2021,2,19,"9,300",2000
정남면 발산리,490-12,동남훼미리,49.92,2021,2,17,"10,000",2000
장지동,966,금호어울림레이크,59.93,2021,2,27,"66,700",2018
오산동,988,동탄역 반도유보라 아이비파크5.0,59.9206,2021,2,20,"88,000",2017
영천동,720,동탄역포레너스,60.3768,2021,2,27,"48,000",2017
병점동,847,안화동마을우남퍼스트빌,130.7367,2021,2,19,"46,500",2004
병점동,817,병점역센트럴허브시티,84.925,2021,2,22,"42,000",2004
청계동,516,동탄역시범대원칸타빌아파트,84.786,2021,2,20,"110,000",2015
영천동,720,동탄역포레너스,84.5413,2021,2,27,"61,500",2017
능동,1150,동탄푸른마을신일해피트리,59.87,2021,2,27,"39,700",2008
목동,485,한신더휴,76.4713,2021,2,20,"64,000",2018
산척동,699,동탄 더샵 레이크에듀타운,84.419,2021,2,22,"97,600",2019
영천동,677,동탄역경남아너스빌,84.0086,2021,2,27,"80,500",2016
남양읍 남양리,2048,남양아이파크,84.9037,2021,2,25,"32,000",2009
송산동,97-129,신현대1차,39.15,2021,2,20,"8,500",1991
진안동,929,진안파크자이아파트,84.9161,2021,2,17,"33,000",2004
봉담읍 수영리,647-5,수정마을동남메리트,84.8906,2021,2,25,"25,000",2002
병점동,520,병점역한일타운,84.915,2021,2,26,"23,700",2001
봉담읍 와우리,589,봉담그대가3단지,84.734,2021,2,20,"30,500",2008
병점동,822,느치미마을2단지,51.67,2021,2,24,"22,800",2004
장지동,963,동탄호수자이파밀리에,51.75,2021,2,25,"42,000",2018
장지동,1009,레이크반도유보라아이비파크9.0,93.3858,2021,2,25,"74,500",2017
반월동,883,반달마을두산위브2단지,84.927,2021,2,24,"50,000",2007
송산면 사강리,693-4,건우아트팰리스,59.94,2021,2,24,"18,000",2017
목동,491,힐스테이트동탄,84.8479,2021,2,17,"85,000",2019
산척동,699,동탄 더샵 레이크에듀타운,84.9802,2021,2,27,"90,000",2019
병점동,485,한신,84.918,2021,2,20,"28,500",1999
반월동,883,반달마을두산위브2단지,84.898,2021,2,24,"45,900",2007
남양읍 남양리,415,남양우림,59.171,2021,2,23,"12,900",2001
능동,1150,동탄푸른마을신일해피트리,59.87,2021,2,25,"38,500",2008
기안동,895,기안마을풍성신미주,84.8008,2021,2,17,"24,000",2004
봉담읍 상리,21-2,한신,59.96,2021,2,25,"17,450",1997
청계동,512,동탄역 시범우남퍼스트빌아파트,59.98,2021,2,18,"101,000",2015
오산동,1001,동탄역더샵센트럴시티2차,74.9,2021,2,27,"75,500",2018
목동,485,한신더휴,76.4713,2021,2,19,"66,800",2018
진안동,908,진안골마을주공10단지,59.56,2021,2,22,"26,000",2004
향남읍 장짐리,409,장짐마을신성발안미소지움,84.9866,2021,2,2,"24,000",2005
병점동,860,구봉마을우남퍼스트빌,97.1055,2021,2,15,"39,500",2004
청계동,545,동탄역신안인스빌리베라1차,84.9814,2021,2,20,"74,700",2015
산척동,744,그린힐 반도유보라 아이비파크 10(1단지),59.7731,2021,2,24,"43,300",2018
진안동,908,진안골마을주공10단지,59.56,2021,2,17,"29,300",2004
장지동,963,동탄호수자이파밀리에,59.96,2021,2,24,"57,000",2018
정남면 발산리,490-12,동남훼미리,39.808,2021,2,23,"7,500",2000
석우동,53,우미린제일풍경채,112.961,2021,2,26,"86,000",2008
남양읍 남양리,415,남양우림,59.301,2021,2,20,"13,500",2001
산척동,721,더레이크시티부영2단지,88.025,2021,2,18,"88,000",2018
봉담읍 와우리,20,신명,59.96,2021,2,21,"18,400",1999
능동,1282,서동탄역파크자이,84.976,2021,2,23,"61,000",2018
봉담읍 동화리,628,휴먼시아동화마을5단지,84.91,2021,2,23,"29,500",2008
오산동,988,동탄역 반도유보라 아이비파크5.0,59.9206,2021,2,19,"87,500",2017
남양읍 남양리,415,남양우림,59.301,2021,2,22,"14,300",2001
목동,477,동탄2신도시 베라체,74.97,2021,2,20,"56,500",2018
진안동,908,진안골마을주공10단지,59.56,2021,2,17,"29,300",2004
반월동,868,신영통현대2차,84.99,2021,2,26,"32,000",2002
봉담읍 와우리,20,신명,59.96,2021,2,27,"19,000",1999
병점동,500-1,병점성호,59.635,2021,2,23,"21,500",2001
남양읍 남양리,2001,대광파인밸리,59.65,2021,2,24,"17,000",2003
남양읍 남양리,2235,동광뷰엘,80.0082,2021,2,23,"42,000",2018
영천동,859-1,동탄2신도시4차동원로얄듀크포레,59.0157,2021,2,27,"56,000",2020
송동,693,동탄2하우스디더레이크,59.99,2021,2,18,"63,000",2016
산척동,745,레이크힐 반도유보라 아이비파크 10.2,84.9991,2021,2,15,"56,700",2018
반월동,883,반달마을두산위브2단지,84.927,2021,2,23,"47,000",2007
송산면 육일리,726,포도마을코스코밸리,84.9468,2021,2,22,"18,400",2009
병점동,817,병점역센트럴허브시티,84.925,2021,2,20,"36,700",2004
병점동,859,병점역에듀포레,84.99,2021,2,20,"35,700",2004
목동,486,동탄2신도시호반베르디움22단지,53.4754,2021,2,27,"47,750",2017
송산면 육일리,726,포도마을코스코밸리,84.9468,2021,2,12,"18,700",2009
영천동,890,동탄파크한양수자인,59.73,2021,2,27,"45,000",2019
반송동,75,동탄시범다은마을센트럴파크뷰,81.292,2021,2,20,"56,400",2008
봉담읍 상리,21-2,한신,76.86,2021,2,24,"17,500",1997
영천동,651-1397,동탄퍼스트파크,72.5957,2021,2,27,"41,000",2003
오산동,988,동탄역 반도유보라 아이비파크5.0,74.3629,2021,2,28,"101,000",2017
청계동,536,시범반도유보라아이비파크4.0,84.9705,2021,2,28,"107,500",2018
병점동,485,한신,59.808,2021,2,20,"22,000",1999
목동,478,이편한세상동탄,74.44,2021,2,15,"58,000",2018
병점동,500-1,병점성호,84.965,2021,2,19,"23,000",2001
병점동,872,병점역양우내안애,74.27,2021,2,20,"37,900",2016
반월동,872,삼성래미안2차,84.987,2021,2,25,"34,300",2004
청계동,520,동탄역 시범한화 꿈에그린 프레스티지,101.94,2021,2,27,"149,500",2015
영천동,716,동탄역반도유보라아이비파크2.0,84.9921,2021,2,20,"66,500",2016
반월동,883,반달마을두산위브2단지,84.898,2021,2,24,"45,900",2007
봉담읍 수영리,674,우방아이유쉘1단지,84.9727,2021,2,18,"37,800",2016
반송동,79,시범다은마을우남퍼스트빌,67.0661,2021,2,28,"58,000",2007
오산동,1001,동탄역더샵센트럴시티2차,74.9,2021,2,26,"71,000",2018
병점동,809,주공1단지,59.47,2021,2,15,"20,500",1997
병점동,809,주공1단지,59.8,2021,2,23,"22,000",1997
장지동,1011,동탄2아이파크2단지,84.8688,2021,2,25,"58,000",2019
병점동,282,남수원두산,84.9,2021,2,16,"30,200",2000
송산동,97-2,신현대2차,58.14,2021,2,21,"12,500",1992
병점동,809,주공1단지,59.8,2021,2,19,"22,000",1997
남양읍 남양리,2047,남양우림필유아파트,101.209,2021,2,27,"34,000",2009
봉담읍 와우리,591,봉담휴먼빌,120.0372,2021,2,24,"42,500",2012
병점동,809,주공1단지,39.99,2021,2,24,"17,800",1997
병점동,819,안화동마을주공9단지,84.87,2021,2,20,"37,500",2005
오산동,971,동탄역반도유보라아이비파크7.0,73.6524,2021,2,20,"125,000",2019
병점동,817,병점역센트럴허브시티,59.997,2021,2,15,"32,000",2004
영천동,662,동탄역센트럴상록아파트,59.98,2021,2,21,"76,000",2017
병점동,485,한신,115.054,2021,2,27,"36,000",1999
산척동,744,그린힐 반도유보라 아이비파크 10(1단지),59.7731,2021,2,24,"44,900",2018
병점동,485,한신,59.808,2021,2,17,"24,000",1999
청계동,545,동탄역신안인스빌리베라1차,84.9838,2021,2,22,"67,500",2015
병점동,485,한신,84.918,2021,2,20,"31,250",1999
능동,1137,푸른마을두산위브,73.33,2021,2,26,"56,000",2007
산척동,730,더레이크시티부영5단지,84.52,2021,2,27,"88,000",2018
송산동,97-2,신현대2차,58.14,2021,2,22,"11,000",1992
장지동,963,동탄호수자이파밀리에,51.75,2021,2,15,"44,000",2018
기산동,464,삼성래미안1차,84.987,2021,2,22,"33,000",2003
병점동,485,한신,59.808,2021,2,20,"21,500",1999
병점동,872,병점역양우내안애,74.27,2021,2,20,"37,900",2016
영천동,662,동탄역센트럴상록아파트,59.96,2021,2,23,"79,500",2017
영천동,720,동탄역포레너스,84.5442,2021,2,28,"67,000",2017
반송동,224,동탄나루마을동탄역U.BORA여울숲1.0,84.6595,2021,2,20,"61,500",2007
청계동,547,동탄역신안인스빌리베라2차,84.9896,2021,2,27,"82,000",2016
청계동,556,동탄역 더 힐,84.5202,2021,2,20,"65,900",2017
청계동,552,동탄역 호반 써밋,59.417,2021,2,22,"58,000",2015
병점동,506,병점역우남퍼스트빌3차,83.7357,2021,2,25,"26,500",2001
목동,489,동탄동원로얄듀크2차,74.5395,2021,2,18,"61,500",2019
청계동,533,동탄역시범반도유보라아이비파크1.0,84.9643,2021,2,9,"88,000",2015
목동,479,동탄금강펜테리움센트럴파크Ⅳ,74.8709,2021,2,26,"60,200",2018
병점동,485,한신,59.808,2021,2,17,"22,500",1999
봉담읍 와우리,597,봉담센트럴푸르지오,84.6797,2021,2,27,"48,200",2017
안녕동,210,남산마을청광플러스원,84.9062,2021,2,26,"15,000",2004
반월동,860,신영통현대3차,59.76,2021,2,24,"28,700",2001
안녕동,210,남산마을청광플러스원,84.9062,2021,2,23,"16,000",2004
안녕동,210,남산마을청광플러스원,84.9062,2021,2,18,"16,000",2004
봉담읍 와우리,589,봉담그대가3단지,84.765,2021,2,19,"30,900",2008
진안동,911,진안골마을주공11단지,84.99,2021,2,19,"36,800",2004
기산동,476,에스케이뷰파크2차,59.9889,2021,2,26,"50,700",2017
기안동,290,광도와이드빌,84.8415,2021,2,27,"21,000",2002
능동,1132,동탄숲속마을 모아미래도1단지,59.37,2021,2,17,"45,500",2008
반송동,200,나루마을한화꿈에그린,97.6,2021,2,19,"70,000",2007
송동,693,동탄2하우스디더레이크,74.96,2021,2,20,"76,000",2016
정남면 덕절리,498,근형심포니,84.9926,2021,2,26,"14,500",2004
목동,479,동탄금강펜테리움센트럴파크Ⅳ,84.9723,2021,2,21,"65,800",2018
오산동,971,동탄역반도유보라아이비파크7.0,86.2318,2021,2,19,"147,500",2019
병점동,871,병점역효성해링턴플레이스,84.8683,2021,2,25,"51,700",2013
반송동,134,솔빛마을신도브래뉴,84.753,2021,2,22,"57,000",2007
산척동,729,호수공원역 센트럴시티,60.3768,2021,2,20,"70,300",2019
반송동,134,솔빛마을신도브래뉴,84.9245,2021,2,19,"60,900",2007
병점동,817,병점역센트럴허브시티,84.925,2021,2,23,"30,200",2004
진안동,929,진안파크자이아파트,84.9161,2021,2,27,"28,000",2004
병점동,822,느치미마을2단지,59.56,2021,2,20,"24,000",2004
진안동,935,월드메르디앙1단지,76.2864,2021,2,27,"31,500",2005
진안동,908,진안골마을주공10단지,59.56,2021,2,26,"25,000",2004
청계동,538,동탄역센트럴푸르지오,74.9061,2021,2,20,"74,000",2015
새솔동,22,송산그린시티반도유보라아이비파크,84.9585,2021,2,16,"54,000",2018
봉담읍 동화리,431-4,유화빌라트,105.07,2021,2,16,"15,500",1996
남양읍 남양리,2001,대광파인밸리,84.96,2021,2,25,"20,000",2003
목동,478,이편한세상동탄,74.44,2021,2,27,"58,000",2018
목동,478,이편한세상동탄,74.67,2021,2,20,"56,800",2018
석우동,53,우미린제일풍경채,112.961,2021,2,26,"86,000",2008
목동,485,한신더휴,83.7489,2021,2,22,"74,500",2018
목동,477,동탄2신도시 베라체,74.97,2021,2,25,"57,000",2018
산척동,745,레이크힐 반도유보라 아이비파크 10.2,84.9991,2021,2,22,"59,700",2018
청계동,546,동탄역모아미래도,84.9982,2021,2,18,"81,000",2015
반송동,80,동탄시범다은마을 월드메르디앙 반도유보라,59.07,2021,2,22,"65,500",2007
병점동,817,병점역센트럴허브시티,84.925,2021,2,20,"35,450",2004
남양읍 무송리,642,금광포란재,81.1484,2021,2,16,"15,700",2005
봉담읍 동화리,628,휴먼시아동화마을5단지,84.91,2021,2,19,"28,000",2008
목동,479,동탄금강펜테리움센트럴파크Ⅳ,84.9441,2021,2,27,"62,500",2018
청계동,552,동탄역 호반 써밋,59.8365,2021,2,26,"63,900",2015
목동,485,한신더휴,83.7489,2021,2,9,"72,000",2018
기산동,476,에스케이뷰파크2차,84.9815,2021,2,20,"62,900",2017
병점동,819,안화동마을주공9단지,84.87,2021,2,18,"40,000",2005
기산동,466,신동탄푸르지오,84.9001,2021,2,10,"30,900",2005
팔탄면 가재리,692-1,진우,49.5,2021,2,25,"11,000",2002
영천동,665,동탄센트럴자이(A-10),84.8131,2021,2,17,"101,000",2015
남양읍 남양리,415,남양우림,59.301,2021,2,23,"14,000",2001
오산동,1047,동탄2신도시금강펜테리움센트럴파크Ⅰ,84.9949,2021,2,15,"58,000",2016
병점동,485,한신,84.918,2021,2,15,"27,500",1999
기산동,467,행복마을 참누리 에듀파크(101동-113동),59.911,2021,2,16,"30,000",2006
목동,486,동탄2신도시호반베르디움22단지,53.4754,2021,2,27,"53,000",2017
오산동,998,동탄역에일린의뜰,84.9941,2021,2,26,"70,000",2016
목동,486,동탄2신도시호반베르디움22단지,53.4754,2021,2,26,"53,000",2017
팔탄면 가재리,692-1,진우,39.6,2021,2,23,"7,100",2002
팔탄면 가재리,692-1,진우,49.5,2021,2,24,"10,000",2002
장지동,976,제일풍경채에듀앤파크,59.5765,2021,2,20,"49,500",2018
팔탄면 가재리,692-1,진우,49.5,2021,2,21,"9,600",2002
팔탄면 가재리,692-1,진우,49.5,2021,2,22,"9,400",2002
오산동,1047,동탄2신도시금강펜테리움센트럴파크Ⅰ,84.9949,2021,2,22,"60,000",2016
송동,693,동탄2하우스디더레이크,59.99,2021,2,20,"67,000",2016
산척동,733,더레이크시티부영6단지,60.5232,2021,2,6,"53,000",2018
청계동,532,동탄역시범예미지아파트,84.8,2021,2,22,"91,000",2015
청계동,552,동탄역 호반 써밋,59.417,2021,2,10,"60,000",2015
송동,693,동탄2하우스디더레이크,59.9,2021,2,16,"62,500",2016
반송동,222,나루마을한화꿈에그린우림필유,84.96,2021,2,20,"59,700",2007
산척동,733,더레이크시티부영6단지,84.52,2021,2,23,"72,000",2018
